duration_s,power_w
1,433.0
2,431.5
3,419.66666666666663
4,407.75
5,395.20000000000005
6,383.3333333333333
7,374.42857142857144
8,366.75
9,359.7777777777777
10,353.4
11,347.72727272727275
12,342.1666666666667
13,335.923076923077
14,330.5714285714286
15,328.8666666666666
16,327.9375
17,325.8235294117647
18,324.11111111111114
19,323.1578947368421
20,321.8
21,319.4761904761904
22,316.72727272727275
23,313.95652173913044
24,311.375
25,309.36
26,307.9230769230769
27,306.77777777777777
28,305.82142857142856
29,304.8275862068965
30,303.83333333333337
31,302.5483870967742
32,300.84375
33,299.06060606060606
34,297.55882352941177
35,296.3714285714285
36,295.1111111111111
37,293.7027027027027
38,292.21052631578954
39,290.5641025641026
40,288.94999999999993
41,287.4146341463414
42,285.9523809523811
43,284.72093023255815
44,283.8863636363636
45,283.55555555555566
46,283.3478260869565
47,282.9361702127659
48,282.10416666666663
49,281.0
50,279.84
51,278.88235294117646
52,278.25
53,277.62264150943395
54,276.92592592592587
55,276.2909090909091
56,275.83928571428567
57,275.5438596491228
58,275.24137931034477
59,274.86440677966095
60,274.4333333333333
61,273.9508196721312
62,273.5806451612903
63,273.4285714285715
64,273.25
65,273.0
66,272.7727272727273
67,272.5671641791045
68,272.29411764705884
69,271.82608695652175
70,271.20000000000005
71,270.53521126760563
72,269.8333333333333
73,269.09589041095893
74,268.47297297297297
75,268.16
76,268.0131578947368
77,267.87012987012986
78,267.6666666666666
79,267.30379746835445
80,266.95000000000005
81,266.7283950617284
82,266.7073170731708
83,266.71084337349396
84,266.4642857142858
85,266.1411764705882
86,265.9767441860465
87,265.86206896551727
88,265.69318181818187
89,265.4606741573034
90,265.16666666666674
91,264.967032967033
92,264.8586956521739
93,264.6559139784946
94,264.40425531914894
95,264.17894736842106
96,263.8645833333333
97,263.4742268041237
98,263.2142857142857
99,262.92929292929296
100,262.52000000000004
101,262.1089108910891
102,261.843137254902
103,261.7766990291262
104,261.7788461538462
105,261.75238095238103
106,261.5943396226414
107,261.2429906542055
108,260.8611111111111
109,260.5779816513762
110,260.3363636363635
111,260.0810810810811
112,259.86607142857144
113,259.716814159292
114,259.5614035087719
115,259.3478260869565
116,259.0603448275862
117,258.7521367521367
118,258.49152542372883
119,258.2941176470588
120,258.0416666666667
121,257.65289256198355
122,257.2459016393442
123,256.9105691056911
124,256.66129032258067
125,256.464
126,256.2698412698412
127,256.1496062992126
128,256.0859375
129,255.93798449612402
130,255.70000000000002
131,255.46564885496184
132,255.21212121212125
133,254.93233082706766
134,254.69402985074623
135,254.4814814814815
136,254.2205882352941
137,254.0072992700729
138,253.927536231884
139,253.79856115107918
140,253.57857142857145
141,253.3971631205673
142,253.23943661971833
143,253.01398601398594
144,252.73611111111111
145,252.4758620689655
146,252.23972602739724
147,252.00680272108843
148,251.7837837837838
149,251.56375838926178
150,251.3266666666667
151,251.03973509933766
152,250.76315789473685
153,250.52287581699343
154,250.29870129870136
155,250.14193548387098
156,250.0897435897436
157,250.08280254777068
158,250.06962025316454
159,250.06918238993705
160,250.06875000000002
161,249.9813664596273
162,249.86419753086417
163,249.7730061349693
164,249.62804878048783
165,249.4727272727273
166,249.33734939759034
167,249.24550898203597
168,249.22619047619048
169,249.1538461538461
170,249.00588235294117
171,248.85380116959075
172,248.72674418604652
173,248.6589595375722
174,248.64942528735628
175,248.65714285714284
176,248.70454545454547
177,248.7457627118644
178,248.65168539325845
179,248.5027932960894
180,248.35555555555553
181,248.22651933701655
182,248.20879120879127
183,248.2950819672131
184,248.34239130434787
185,248.3405405405405
186,248.32795698924733
187,248.2994652406417
188,248.26595744680853
189,248.2116402116402
190,248.11052631578943
191,247.95811518324604
192,247.80729166666669
193,247.81347150259072
194,247.96391752577318
195,248.10769230769228
196,248.17857142857142
197,248.2131979695431
198,248.17171717171718
199,248.0603015075377
200,247.995
201,247.97014925373136
202,247.91089108910893
203,247.80788177339903
204,247.6813725490196
205,247.55121951219508
206,247.44660194174753
207,247.41062801932367
208,247.3846153846154
209,247.311004784689
210,247.22857142857143
211,247.1611374407583
212,247.08490566037733
213,246.97183098591552
214,246.85046728971957
215,246.7860465116279
216,246.80092592592595
217,246.77419354838705
218,246.6743119266055
219,246.56621004566205
220,246.4454545454545
221,246.3257918552037
222,246.20270270270268
223,246.06278026905827
224,245.91517857142856
225,245.76000000000002
226,245.6150442477876
227,245.48017621145377
228,245.32894736842104
229,245.14847161572052
230,244.96521739130438
231,244.84848484848484
232,244.7974137931035
233,244.72103004291844
234,244.48717948717953
235,244.17446808510635
236,243.7966101694915
237,243.45147679324896
238,243.41176470588238
239,243.1171548117154
240,242.81666666666666
241,242.22821576763485
242,241.59917355371903
243,240.97119341563786
244,240.3688524590164
245,239.8
246,239.25203252032526
247,238.73279352226723
248,238.26209677419354
249,237.80321285140562
250,237.28400000000002
251,236.70119521912346
252,236.10317460317455
253,235.50592885375494
254,234.9055118110236
255,234.30588235294115
256,233.70703125
257,233.10894941634245
258,232.5
259,231.8918918918919
260,231.3269230769231
261,230.79310344827584
262,230.2862595419847
263,229.80228136882127
264,229.33333333333331
265,228.86792452830187
266,228.3796992481203
267,227.89513108614238
268,227.55597014925365
269,227.2156133828996
270,226.86296296296297
271,226.5239852398524
272,226.2279411764706
273,225.95604395604397
274,225.72627737226276
275,225.49818181818182
276,225.21014492753622
277,224.89169675090255
278,224.56474820143887
279,224.22939068100357
280,223.88928571428576
281,223.55160142348757
282,223.22340425531914
283,222.89752650176686
284,222.57042253521132
285,222.25964912280702
286,221.96853146853144
287,221.67247386759578
288,221.34375
289,221.02076124567475
290,220.73103448275862
291,220.43986254295535
292,220.1267123287671
293,219.81569965870307
294,219.5170068027211
295,219.21355932203392
296,218.89864864864862
297,218.58249158249154
298,218.26845637583892
299,217.9565217391304
300,217.64333333333337
301,217.3355481727575
302,217.0264900662252
303,216.71287128712876
304,216.39144736842104
305,216.07868852459015
306,215.80065359477126
307,215.53745928338762
308,215.25974025974028
309,214.97087378640776
310,214.68064516129033
311,214.38585209003216
312,214.08333333333334
313,213.79552715654947
314,213.5254777070064
315,213.30158730158726
316,213.06012658227843
317,212.77602523659309
318,212.41823899371073
319,212.04388714733545
320,211.70312500000003
321,211.45794392523362
322,211.25776397515526
323,211.0433436532508
324,210.8148148148148
325,210.58769230769232
326,210.35276073619633
